Lugar,Torneo,Serie,Superficie,Ganador,Finalista
Brisbane,Brisbane International,ATP250,Rápida,Nishikori K.,Medvedev D.
Doha,Qatar Exxon Mobil Open,ATP250,Rápida,Bautista Agut R.,Berdych T.
Pune,Maharashtra Open,ATP250,Rápida,Anderson K.,Karlovic I.
Auckland,ASB Classic,ATP250,Rápida,Sandgren T.,Norrie C.
Sydney,Sydney International,ATP250,Rápida,De Minaur A.,Seppi A.
Melbourne,Australian Open,Grand Slam,Rápida,Djokovic N.,Nadal R.
Cordoba,Cordoba Open,ATP250,Tierra,Londero J.I.,Pella G.
Montpellier,Open Sud de France,ATP250,Rápida,Tsonga J.W.,Herbert P.H.
Sofia,Sofia Open,ATP250,Rápida,Medvedev D.,Fucsovics M.
Buenos Aires,Argentina Open,ATP250,Tierra,Cecchinato M.,Schwartzman D.
New York,New York Open,ATP250,Rápida,Opelka R.,Schnur B.
Rotterdam,ABN AMRO World Tennis Tournament,ATP500,Rápida,Monfils G.,Wawrinka S.
Delray Beach,Delray Beach Open,ATP250,Rápida,Albot R.,Evans D.
Marseille,Open 13,ATP250,Rápida,Tsitsipas S.,Kukushkin M.
Rio de Janeiro,Rio Open,ATP500,Tierra,Djere L.,Auger-Aliassime F.
Acapulco,Abierto Mexicano,ATP500,Rápida,Kyrgios N.,Zverev A.
Dubai ,Dubai Tennis Championships,ATP500,Rápida,Federer R.,Tsitsipas S.
Sao Paulo,Brasil Open,ATP250,Tierra,Pella G.,Garin C.
Indian Wells,BNP Paribas Open,Masters 1000,Rápida,Thiem D.,Federer R.
Miami,Sony Ericsson Open,Masters 1000,Rápida,Federer R.,Isner J.
Houston,U.S. Men's Clay Court Championships,ATP250,Tierra,Garin C.,Ruud C.
Marrakech,Grand Prix Hassan II,ATP250,Tierra,Paire B.,Andujar P.
Monte Carlo,Monte Carlo Masters,Masters 1000,Tierra,Fognini F.,Lajovic D.
Barcelona,Open Banco Sabadell ,ATP500,Tierra,Thiem D.,Medvedev D.
Budapest,Hungarian Open,ATP250,Tierra,Berrettini M.,Krajinovic F.
Estoril,Millennium Estoril Open,ATP250,Tierra,Tsitsipas S.,Cuevas P.
Munich,BMW Open,ATP250,Tierra,Garin C.,Berrettini M.
Madrid,Mutua Madrid Open,Masters 1000,Tierra,Djokovic N.,Tsitsipas S.
Rome,Internazionali BNL d'Italia,Masters 1000,Tierra,Nadal R.,Djokovic N.
Geneva,Geneva Open,ATP250,Tierra,Zverev A.,Jarry N.
Lyon,Lyon Open,ATP250,Tierra,Paire B.,Auger-Aliassime F.
Paris,French Open,Grand Slam,Tierra,Nadal R.,Thiem D.
's-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Césped,Mannarino A.,Thompson J.
Stuttgart,Mercedes Cup,ATP250,Césped,Berrettini M.,Auger-Aliassime F.
Halle,Halle Open,ATP500,Césped,Federer R.,Goffin D.
Queens Club,Queen's Club Championships,ATP500,Césped,Lopez F.,Simon G.
Antalya,Antalya Open,ATP250,Césped,Sonego L.,Kecmanovic M.
Eastbourne,Eastbourne International,ATP250,Césped,Fritz T.,Querrey S.
London,Wimbledon,Grand Slam,Césped,Djokovic N.,Federer R.
Bastad,SkiStar Swedish Open,ATP250,Tierra,Jarry N.,Londero J.I.
Newport,Hall of Fame Championships,ATP250,Césped,Isner J.,Bublik A.
Umag,Croatia Open,ATP250,Tierra,Lajovic D.,Balazs A.
Atlanta,BB&T Atlanta Open,ATP250,Rápida,De Minaur A.,Fritz T.
Gstaad,Suisse Open Gstaad,ATP250,Tierra,Ramos-Vinolas A.,Stebe C.M.
Hamburg,German Tennis Championships,ATP500,Tierra,Basilashvili N.,Rublev A.
Kitzbuhel,Generali Open,ATP250,Tierra,Thiem D.,Ramos-Vinolas A.
Los Cabos,Abierto Mexicano Mifel,ATP250,Rápida,Schwartzman D.,Fritz T.
Washington,Citi Open,ATP500,Rápida,Kyrgios N.,Medvedev D.
Montreal,Rogers Masters,Masters 1000,Rápida,Nadal R.,Medvedev D.
Cincinnati,Western & Southern Financial Group Masters,Masters 1000,Rápida,Medvedev D.,Goffin D.
Winston-Salem,Winston-Salem Open at Wake Forest University,ATP250,Rápida,Hurkacz H.,Paire B.
New York,US Open,Grand Slam,Rápida,Nadal R.,Medvedev D.
Metz,Open de Moselle,ATP250,Rápida,Tsonga J.W.,Bedene A.
St. Petersburg,St. Petersburg Open,ATP250,Rápida,Medvedev D.,Coric B.
Chengdu,Chengdu Open,ATP250,Rápida,Carreno Busta P.,Bublik A.
Zhuhai,Zhuhai Open,ATP250,Rápida,De Minaur A.,Mannarino A.
Beijing,China Open,ATP500,Rápida,Thiem D.,Tsitsipas S.
Tokyo,Rakuten Japan Open Tennis Championships,ATP500,Rápida,Djokovic N.,Millman J.
Shanghai,Shanghai Masters,Masters 1000,Rápida,Medvedev D.,Zverev A.
Antwerp,European Open,ATP250,Rápida,Murray A.,Wawrinka S.
Moscow,Kremlin Cup,ATP250,Rápida,Rublev A.,Mannarino A.
Stockholm,Stockholm Open,ATP250,Rápida,Shapovalov D.,Krajinovic F.
Basel,Swiss Indoors,ATP500,Rápida,Federer R.,De Minaur A.
Vienna,Erste Bank Open,ATP500,Rápida,Thiem D.,Schwartzman D.
Paris,BNP Paribas Masters,Masters 1000,Rápida,Djokovic N.,Shapovalov D.
London,Masters Cup,Masters Cup,Rápida,Tsitsipas S.,Thiem D.
